loading,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,id,failure,kfold
133.0,19.053,12.88,17.787,17.433,12.644,19.105,10.679,17.606,18.271,13.938,15.726,16.369,13.657,17.732,815.839,16825,0,0
98.7,18.537,10.402,17.282,16.96,11.0,18.984,9.833,16.729,17.445,8.861,16.509,18.853,13.98,15.09,612.82,14830,0,0
161.02,19.027,13.39,17.929,17.407,11.959,20.242,11.259,16.417,17.286,10.259,15.586,14.639,15.975,18.426,857.588,10678,0,0
223.99,17.437,12.855,16.44,18.056,11.213,18.552,11.074,15.785,19.661,13.637,17.054,14.965,12.972,15.725,641.743,2364,1,0
89.86,17.84,11.965,17.203,18.326,11.713,17.59,12.201,18.756,18.994,11.022,15.989,19.248,17.134,11.653,701.36,17570,0,0
109.93,17.701,10.426,17.848,16.092,11.454,19.81,11.43,15.86,19.843,12.89,17.373,17.202,16.684,16.436,739.87,4656,0,0
125.43,20.422,12.987,16.727,18.204,12.775,16.524,11.935,16.826,17.37,13.704,15.923,15.605,14.969,16.73,546.762,2781,0,0
63.78,18.066,10.365,17.865,17.893,9.885,18.072,11.755,14.06,19.843,11.238,17.053,14.634,14.621,17.34,520.049,9622,0,0
81.2,16.657,10.556,16.633,17.328,9.263,18.004,12.806,16.29,18.051,10.424,15.6285,15.392,15.398,13.695,538.133,25203,0,0
128.58,17.787,12.801,18.038,16.307,11.885,18.812,12.449,15.721,20.325,11.717,14.936,13.781,16.867,17.785,764.333,14490,0,0
130.85,16.559,11.946,18.924,16.31,11.712,18.18,12.409,17.163,22.169,11.629,15.042,15.479,14.307,16.771,716.999,2648,0,0
129.36,19.015,13.087,17.064,16.681,11.492,18.833,12.392,17.388,17.185,11.686,15.969,18.301,16.169,17.034,699.777,13103,0,0
120.2,18.46,11.951,17.035,18.27,11.597,18.333,13.182,18.123,17.744,11.987,18.188,15.668,14.969,16.705,756.218,5881,0,0
187.69,18.448,11.625,16.434,18.33,12.18,17.921,11.643,16.965,19.395,11.145,15.161,17.209,15.154,14.329,709.228,19700,0,0
192.27,17.739,13.091,16.817,18.516,10.457,18.67,11.745,15.267,20.191,12.385,14.029,15.863,12.567,18.284,647.952,5420,1,0
148.26,17.63,12.031,15.85,17.29,11.029,18.108,11.131,15.494,19.473,11.717,15.319,14.251,15.82,17.167,508.502,16763,0,0
104.22,16.503,11.64,19.871,19.275,12.713,18.339,11.24,15.677,15.968,13.086,16.671,16.808,16.312,15.062,851.05,9242,0,0
61.83,18.807,11.046,16.194,16.421,11.418,19.118,13.271,14.919,17.45,9.848,14.728,16.04,15.686,16.436,558.098,24036,0,0
142.75,16.348,12.439,15.787,18.29,11.196,17.974,11.348,19.131,18.284,13.396,16.367,18.264,17.127,16.436,567.884,17224,0,0
148.64,17.175,12.415,19.547,16.602,12.577,19.748,12.41,14.44,17.673,10.962,14.873,16.204,14.505,15.927,904.354,26424,0,0
99.0,17.787,12.055,15.786,17.405,11.583,18.928,12.676,15.238,20.055,13.003,17.321,15.623,14.969,18.416,685.895,6826,0,0
76.21,19.972,12.857,17.333,17.673,13.035,18.156,10.698,11.967,19.097,12.963,15.831,16.04,16.384,15.176,797.088,18688,0,0
165.61,17.787,12.072,16.162,18.359,11.035,20.75,11.442,14.932,21.589,11.591,15.21,18.274,14.401,13.785,786.646,4860,1,0
80.58,18.353,11.004,17.972,17.377,12.117,18.718,10.879,16.36,17.964,11.717,15.25,14.448,14.548,16.846,701.0245,11808,0,0
226.4,17.57,10.932,17.443,17.271,11.733,17.824,11.43,18.459,20.543,12.095,16.075,15.873,15.891,15.4,658.584,9865,1,0
121.92,17.585,11.14,16.314,16.066,12.154,19.823,11.969,16.832,18.471,11.807,15.397,13.646,15.567,15.932,569.693,26001,0,0
210.99,18.471,12.334,17.481,15.941,10.693,18.313,10.966,15.946,20.487,12.917,17.047,17.65,14.142,15.533,607.281,3244,0,0
157.94,19.197,11.872,16.325,18.152,12.812,18.221,12.663,16.127,18.743,12.059,14.248,11.303,16.176,14.353,751.663,17723,0,0
153.5,18.226,10.574,16.135,18.596,11.068,19.461,10.546,16.127,20.595,12.964,16.178,16.705,15.695,15.475,669.825,1041,0,0
109.72,17.512,11.832,16.361,16.478,10.855,21.003,10.892,17.398,19.319,11.563,15.656,16.345,15.386,16.799,582.973,7352,0,0
218.11,17.199,10.985,16.953,16.472,11.523,19.303,11.427,15.559,22.186,13.991,16.497,14.697,15.942,17.84,586.216,26099,1,0
127.82623252279636,17.149,12.178,16.305,16.545,10.678,20.621,10.431,17.486,18.267,13.321,13.438,16.92,13.065,19.009,583.8,20216,0,0
116.83,18.708,11.439,16.916,16.26,10.755,18.56,12.099,14.292,18.397,13.828,14.664,14.444,13.454,15.007,590.168,2001,0,0
190.16,18.534,11.552,15.789,16.074,12.359,18.767,10.716,15.768,19.344,11.93,14.963,15.417,16.573,16.646,597.283,13343,0,0
103.69,17.177,10.428,17.557,18.548,10.589,19.37,11.195,15.523,15.323,10.907,18.466,15.942,18.856,13.637,541.52,7576,0,0
180.08,17.657,11.047,17.886,17.345,11.669,18.142,11.587,15.415,18.45,10.286,11.052,15.104,17.726,12.525,694.226,8815,0,0
94.42,17.787,11.624,16.839,19.628,12.076,18.4,11.297,14.787,20.666,9.137,15.927,15.882,15.444,17.421,833.422,18877,0,0
83.01,19.613,10.914,17.01,17.893,10.272,19.278,11.757,16.061,16.403,11.323,16.935,14.494,16.029,15.365,701.0245,4178,0,0
85.41,17.535,11.707,17.85,17.382,13.321,18.754,11.052,16.669,19.852,11.026,14.08,13.003,14.969,16.31,711.331,22757,1,0
168.93,17.913,10.803,16.383,16.994,11.449,18.508,14.042,15.682,20.547,12.128,17.007,13.495,16.632,18.513,694.142,14265,0,0
156.45,18.346,12.686,18.023,18.145,12.144,20.298,10.664,15.699,17.7,11.465,16.807,15.836,12.422,18.423,924.432,19195,0,0
105.78,16.895,12.106,16.326,16.642,10.656,18.158,9.839,15.851,19.2115,11.717,15.861,16.99,15.375,14.202,507.455,24232,0,0
126.95,18.428,11.377,18.286,17.39,12.59,17.851,10.861,16.887,18.965,12.173,16.863,15.455,15.526,16.436,701.0245,16335,0,0
95.92,18.756,12.778,16.811,17.958,9.983,18.5,10.57,17.362,18.458,12.625,17.109,16.04,14.711,18.974,579.337,9130,0,0
102.67,19.628,13.823,16.659,17.516,12.263,19.386,13.067,16.25,22.385,13.359,15.482,16.127,11.802,16.766,903.192,7433,0,0
105.97,18.968,12.775,16.682,17.352,12.441,18.561,11.768,17.902,19.163,12.089,15.168,17.717,14.824,13.156,694.591,17302,0,0
192.8,17.793,12.688,17.384,17.341,12.282,20.263,12.909,15.756,19.759,9.971,15.899,17.746,15.029,14.401,835.964,4509,1,0
103.89,19.41,12.047,17.603,18.269,11.712,19.309,10.819,15.804,19.173,10.786,14.654,16.361,13.963,14.124,819.648,22754,0,0
119.31,16.558,11.928,15.09,17.281,11.07,19.354,12.108,16.336,17.995,9.63,14.628,16.065,18.03,16.436,619.949,12031,0,0
107.13,17.179,11.48,17.011,16.79,12.716,19.638,12.148,17.006,18.462,10.964,16.207,15.812,16.48,17.525,780.947,6208,1,0
105.3,17.228,12.375,17.409,17.231,11.824,20.086,12.21,15.587,18.131,9.37,13.862,16.027,16.529,16.946,701.0245,4285,0,0
86.7,18.268,13.698,15.811,16.867,11.463,18.103,10.867,15.978,20.403,12.576,14.918,15.846,13.067,15.905,555.882,2913,0,0
93.62,17.409,9.906,18.696,16.447,11.819,19.595,11.556,15.331,19.2115,8.715,15.305,14.117,13.853,16.321,701.0245,11002,1,0
152.0,18.611,11.448,18.128,18.889,9.461,19.891,11.035,15.288,19.82,12.372,15.443,16.533,14.027,12.884,802.997,1026,0,0
161.37,19.031,12.288,16.328,17.25,12.016,18.413,11.765,16.991,21.528,13.34,14.745,14.831,13.509,16.07,755.219,9338,0,0
178.61,18.967,12.167,17.723,20.264,12.468,19.502,11.88,16.892,20.454,13.819,15.6285,14.564,12.059,16.198,871.952,1221,0,0
105.51,17.453,11.151,17.653,17.792,11.504,19.397,12.522,16.133,17.206,12.34,16.551,15.501,13.188,13.888,794.722,14669,0,0
161.98,18.773,10.233,15.481,18.343,10.514,18.921,12.681,15.652,18.127,11.215,16.999,16.704,14.09,17.993,701.0245,8664,0,0
148.7,17.592,13.229,14.982,17.191,12.212,20.001,11.591,15.433,16.698,13.514,16.143,13.763,11.004,14.4,701.683,15324,0,0
104.65,18.186,12.474,18.702,17.272,10.832,20.663,11.896,15.519,20.763,11.385,16.522,14.502,15.064,15.37,960.101,25020,0,0
94.15,18.154,10.475,17.77,17.84,11.526,19.653,11.018,14.09,18.178,12.811,15.6285,17.099,16.341,16.711,733.215,23816,0,0
141.53,18.897,10.225,17.302,17.639,12.861,19.725,12.915,17.794,16.087,11.294,16.28,16.413,13.898,16.372,800.53,8316,0,0
105.25,19.609,13.005,17.609,17.594,11.284,19.786,12.116,17.042,19.099,11.717,15.936,16.155,15.355,15.471,807.427,16771,0,0
201.07,18.459,11.312,17.165,15.856,12.598,17.03,11.979,17.435,18.147,11.571,15.833,14.91,14.171,15.64,788.334,6915,0,0
148.61,17.889,12.149,15.986,17.865,12.509,19.661,12.057,17.165,18.849,12.653,15.131,14.402,13.457,17.814,738.162,17820,0,0
173.28,16.224,12.725,18.0,16.632,12.51,17.208,11.091,17.506,22.171,12.01,15.6285,16.826,13.815,17.004,622.777,3973,0,0
89.15,16.709,11.742,18.504,17.893,12.003,19.502,11.19,14.336,18.154,12.286,15.38,15.799,17.702,14.342,838.605,16719,0,0
95.81,16.672,11.845,17.516,17.82,10.903,18.96,11.098,16.27,20.842,11.458,15.677,16.165,14.969,15.289,671.429,13981,0,0
132.59,19.058,12.492,17.132,18.867,11.712,20.703,11.378,17.168,16.047,10.434,15.6285,17.743,14.345,13.932,906.188,15635,0,0
189.21,17.745,11.786,16.406,18.605,10.476,17.179,11.43,15.493,19.2115,12.295,16.133,15.315,17.722,18.716,472.665,14841,0,0
127.07,16.294,13.074,17.982,17.839,12.908,18.345,11.355,16.457,17.986,11.906,16.429,16.04,16.741,18.321,732.949,12764,1,0
128.37,16.175,11.528,18.994,16.729,11.888,18.417,12.506,15.58,19.793,12.465,14.609,15.017,15.712,17.149,701.0245,10721,1,0
89.72,18.452,11.564,17.304,16.183,11.628,20.427,10.257,15.411,19.278,10.52,15.325,16.5,17.354,17.724,701.0245,19312,1,0
206.58,17.69,11.428,16.712,17.063,11.676,19.605,11.867,14.766,20.984,10.945,13.922,16.04,14.019,16.436,678.53,6434,0,0
132.12,19.934,11.915,14.358,15.781,12.158,19.635,11.593,19.147,18.481,13.718,13.935,15.227,13.707,17.443,701.0245,17396,1,0
173.99,17.595,12.082,16.938,17.358,11.052,19.021,11.701,14.738,19.9,11.402,14.985,16.282,18.565,18.596,647.465,10988,0,0
164.79,17.372,11.871,16.023,16.678,9.982,18.368,9.223,15.004,15.77,9.094,15.169,16.277,14.969,16.436,425.02,13275,1,0
104.51,18.091,12.592,17.818,16.16,10.721,18.873,11.568,17.728,16.866,12.02,15.743,16.363,14.44,16.639,685.439,10120,0,0
104.58,17.833,11.334,17.418,16.754,11.074,19.633,11.482,17.092,20.587,11.145,15.04,14.526,14.43,16.436,701.0245,23053,1,0
156.67,17.888,8.93,16.873,17.045,10.71,19.643,13.424,17.526,18.736,15.328,17.193,15.54,15.5,13.001,569.022,25183,0,0
137.49,17.587,11.507,16.998,17.374,10.821,19.526,12.448,13.869,20.154,13.274,14.294,15.754,14.864,17.543,725.957,22676,0,0
82.67,18.823,11.37,15.109,17.375,12.761,19.691,10.754,16.043,19.235,13.313,17.96,17.956,13.229,19.336,706.831,8367,0,0
163.26,18.429,12.565,17.432,19.538,12.176,18.29,12.185,16.415,19.2115,10.538,15.915,16.765,14.201,15.123,710.857,10432,1,0
113.11,15.879,11.583,16.467,18.002,11.435,18.779,10.47,16.808,17.587,15.466,14.183,16.789,10.81,16.436,629.576,16889,1,0
75.05,17.563,9.398,16.349,17.142,11.682,18.63,10.612,17.441,19.646,11.909,14.715,13.89,14.969,14.668,439.061,23139,0,0
94.03,17.747,10.485,17.966,16.803,13.893,17.757,11.67,14.807,19.349,12.516,14.108,18.135,16.362,16.93,723.902,11907,0,0
94.24,16.951,12.96,16.887,18.961,12.232,19.021,11.379,17.647,20.146,10.452,14.912,15.749,16.589,16.436,949.513,26386,1,0
93.85,16.591,13.689,18.479,16.136,11.313,17.826,11.335,19.164,18.973,12.6,20.095,16.326,14.997,17.747,775.095,9535,1,0
152.0,17.959,10.732,16.804,16.181,10.779,21.746,12.476,16.792,19.387,11.042,16.26,17.634,14.438,15.708,817.487,3567,0,0
113.27,17.92,11.858,15.758,16.981,12.441,20.327,11.548,16.217,18.578,11.118,14.968,15.774,11.932,17.436,675.442,20207,0,0
170.98,18.919,11.374,17.825,18.168,12.763,18.814,12.983,17.999,21.44,12.536,15.447,17.547,14.969,13.82,793.156,25294,1,0
137.08,17.912,11.309,17.592,14.913,13.045,16.966,10.556,15.487,17.0,11.255,17.205,17.624,13.202,18.123,793.344,7162,0,0
122.26,16.886,12.372,17.393,15.734,10.957,19.787,9.857,16.71,16.836,11.608,13.035,16.493,16.573,19.276,612.322,9328,0,0
169.89,19.055,10.824,18.068,17.295,11.822,18.888,10.496,15.49,19.988,9.965,16.145,17.331,14.298,17.492,707.36,12961,1,0
143.43,20.98,11.94,17.382,16.809,12.972,20.438,11.405,15.053,17.122,11.602,16.623,17.048,13.277,15.511,889.527,14351,0,0
81.89,17.881,12.665,16.784,15.035,11.506,20.026,11.217,16.192,21.354,12.372,14.303,12.319,13.747,14.543,612.585,25743,0,0
114.71,19.459,12.695,19.267,18.181,11.916,19.725,11.311,16.27,18.846,9.259,15.977,17.064,14.163,15.168,1000.523,22338,0,0
166.78,19.422,11.475,18.655,16.937,12.597,18.808,10.578,15.951,20.722,12.541,13.237,15.031,16.648,17.671,710.875,26418,0,0
135.2,20.189,11.871,17.168,17.512,12.406,19.553,12.073,13.886,18.097,11.281,14.453,15.039,18.269,13.995,825.596,19416,1,0
144.85,16.969,12.471,17.645,16.305,10.3,19.495,12.229,16.895,19.2115,10.074,15.911,16.919,18.155,19.118,732.067,11548,1,0
70.82,17.744,11.995,16.618,16.054,12.078,18.816,9.608,16.935,19.459,8.421,17.401,14.177,15.34,16.436,592.898,10594,0,0
117.59,17.873,12.319,16.69,19.695,12.511,18.985,10.665,16.708,18.234,12.333,16.834,16.117,15.261,16.436,762.33,9157,0,0
119.51,19.548,11.591,15.654,17.75,10.008,19.293,12.23,15.997,18.63,9.943,16.272,16.76,15.495,17.23,607.842,13356,0,0
177.99,18.265,11.465,17.772,18.317,13.288,18.901,10.824,16.127,17.681,11.037,14.273,15.494,14.969,16.35,841.951,8252,1,0
135.1,19.067,10.115,16.536,18.434,11.871,19.718,12.851,15.829,17.562,11.705,16.614,15.526,13.009,17.719,797.524,12962,0,0
144.14,17.754,12.694,16.659,19.018,12.887,19.026,12.916,16.036,19.417,12.752,14.328,15.969,14.767,15.237,701.0245,10148,0,0
126.26,16.209,11.655,15.914,16.478,13.453,18.858,12.415,15.962,20.478,15.371,15.073,15.698,17.323,19.439,629.701,2269,0,0
212.22,17.771,12.151,17.193,17.132,11.789,18.433,10.704,16.738,19.357,15.104,16.44,16.04,11.524,16.751,638.78,19232,0,0
158.84,17.612,11.576,17.352,18.525,11.733,19.016,12.218,16.973,15.474,11.171,15.6285,16.658,14.969,15.8,721.616,7476,0,0
152.62,18.207,10.9,18.164,18.568,11.628,18.589,11.046,15.338,17.267,12.245,16.101,20.139,16.779,13.706,704.754,13248,0,0
117.11,18.838,11.733,16.125,17.662,12.709,19.021,12.185,15.385,19.206,11.389,16.014,15.454,12.389,17.564,771.101,19678,0,0
173.0,18.621,10.361,17.132,18.117,11.429,19.165,13.832,16.636,20.356,12.92,15.6285,16.106,12.25,17.317,728.136,3529,0,0
147.65,19.841,13.396,18.788,15.847,11.722,21.695,10.988,16.313,17.2,11.713,15.369,14.715,14.898,14.842,987.107,2979,0,0
119.96,18.001,13.395,17.684,15.997,11.991,18.166,12.114,16.492,18.967,10.601,14.32,14.787,16.396,17.898,701.0245,10911,0,0
116.14,18.923,14.374,16.336,17.632,11.717,16.968,12.443,16.127,19.615,11.717,16.481,17.249,14.969,16.104,508.808,13100,0,0
122.24,19.232,10.254,15.575,16.268,10.293,18.343,10.394,16.444,20.491,12.114,14.714,16.066,14.49,16.978,413.719,19318,0,0
107.63,17.358,12.642,17.657,16.534,11.321,19.678,10.907,17.099,21.285,12.06,17.145,17.362,15.897,15.876,760.19,735,1,0
197.31,19.618,10.648,16.766,16.707,12.861,19.841,11.76,15.308,18.65,10.715,15.674,16.068,15.2,16.436,809.968,13533,0,0
84.13,17.98,10.988,15.328,16.878,12.787,18.433,12.209,14.372,20.472,10.239,17.455,14.941,13.498,15.92,621.371,13710,0,0
203.95,19.844,13.342,18.584,16.684,10.739,20.416,10.282,14.498,19.911,12.607,15.269,14.811,13.191,17.017,908.328,25512,0,0
150.54,18.001,10.823,17.288,16.263,10.309,21.099,11.45,16.317,17.595,14.663,17.394,17.762,16.294,15.821,714.586,21515,0,0
182.04,17.874,10.341,14.939,17.945,12.984,18.063,10.807,16.433,20.205,13.501,16.122,16.177,11.222,16.595,518.694,4273,0,0
150.37,17.809,12.049,16.306,18.514,10.023,19.52,12.537,16.127,23.721,10.841,14.096,15.388,16.906,18.522,568.931,7398,0,0
244.94,16.286,10.294,18.392,18.742,12.933,20.67,10.334,18.285,17.092,11.717,15.846,16.897,15.34,9.701,893.198,21743,0,0
125.32,16.962,11.556,18.07,16.656,10.066,19.274,10.067,15.79,21.996,11.993,15.088,16.277,12.482,16.183,709.173,3265,0,0
89.68,16.696,12.016,17.323,17.431,13.69,19.016,12.374,16.225,18.596,12.688,13.798,16.04,14.531,17.56,763.229,574,1,0
162.52,18.676,11.121,16.427,15.902,11.688,18.598,11.43,17.839,18.005,10.062,13.908,17.678,13.972,19.664,701.0245,20611,0,0
95.53,19.771,11.135,18.29,18.48,10.42,17.631,11.529,16.139,18.223,9.915,14.289,16.202,16.09,15.516,591.499,11883,0,0
130.28,17.638,11.184,14.924,17.516,12.957,18.38,12.483,15.403,16.271,10.084,16.484,16.881,18.324,17.853,694.604,17588,0,0
121.02,17.787,12.214,16.914,16.861,13.579,17.299,10.513,17.55,19.025,9.813,15.6285,14.272,15.817,17.208,521.013,23330,0,0
109.95,17.787,11.645,16.004,17.991,13.582,17.864,11.906,16.784,17.79,12.999,15.6285,15.258,15.294,16.513,833.306,5154,0,0
123.78,17.815,10.764,14.814,16.98,10.132,18.474,12.153,14.329,18.566,12.777,15.519,18.174,14.96,15.863,423.868,24426,0,0
127.89,17.291,11.732,15.876,17.61,11.981,17.919,13.567,16.75,22.318,15.027,15.035,16.04,15.555,15.297,588.257,21639,0,0
128.95,18.492,11.765,15.13,18.702,12.654,20.02,10.524,16.822,20.397,13.068,16.96,18.162,15.44,18.86,703.385,7768,0,0
148.83,17.138,14.054,18.201,16.808,12.316,19.073,12.829,17.833,20.144,11.62,15.179,15.423,14.819,16.695,919.941,5139,0,0
109.78,17.912,11.744,17.201,15.71,12.761,18.405,11.197,16.589,20.831,12.676,16.475,16.536,15.032,15.04,635.718,184,1,0
126.15,18.36,11.496,15.699,15.401,11.889,18.773,11.548,14.815,18.327,11.393,15.778,17.316,15.957,15.608,414.248,23990,0,0
138.73,17.856,10.817,17.963,17.96,12.693,20.075,9.62,14.411,21.221,11.653,15.264,14.573,17.008,16.436,727.031,9770,0,0
142.76,17.826,11.258,18.648,17.046,11.449,18.106,10.269,16.55,18.721,11.97,17.386,16.548,16.496,14.881,639.41,11275,0,0
76.65,17.696,11.823,17.562,16.655,10.584,17.75,12.964,15.438,17.967,13.338,16.422,15.054,14.058,15.039,701.0245,1858,0,0
106.04,17.385,12.11,17.909,17.53,11.226,20.099,11.498,12.943,19.44,11.296,17.3,14.765,17.239,17.12,701.0245,6038,0,0
167.13,15.717,11.101,18.385,17.13,11.712,18.571,12.88,16.051,19.155,14.948,14.89,15.342,12.112,14.429,725.427,3951,0,0
92.28,20.163,12.057,16.952,17.65,11.413,19.359,11.639,18.101,21.753,11.839,15.698,15.404,16.85,17.248,747.115,22173,0,0
56.23,16.722,13.847,17.077,18.484,11.818,19.777,11.681,14.087,18.894,11.978,15.24,14.741,14.969,16.682,956.84,22637,0,0
95.82,17.498,12.416,18.321,18.043,11.032,19.354,10.649,16.177,19.358,10.815,15.76,17.804,17.085,16.336,686.949,5163,0,0
199.59,19.247,9.247,16.672,19.307,10.743,17.554,11.387,14.321,20.284,12.447,15.6285,15.734,12.446,14.617,556.143,22683,0,0
241.52,17.533,10.937,16.846,17.516,12.018,19.33,11.345,16.319,18.339,14.121,16.701,15.159,14.227,17.684,702.017,1429,0,0
138.58,18.415,12.061,18.064,15.966,12.126,18.434,10.701,14.856,18.861,9.504,15.206,15.602,16.605,18.59,617.88,20090,0,0
127.35,18.527,12.988,17.064,18.196,11.286,18.32,10.588,17.082,19.466,12.157,14.675,17.985,19.137,19.473,589.585,12932,0,0
109.95,20.035,12.171,18.571,18.197,12.799,17.353,11.758,16.326,19.646,10.796,14.754,15.41,16.138,19.853,709.709,501,1,0
91.57,16.311,12.205,17.996,17.937,11.562,21.034,11.204,14.035,19.2115,12.259,16.46,18.474,14.969,18.336,961.422,25171,0,0
65.14,17.846,11.842,18.406,16.648,11.712,16.896,12.216,15.86,20.931,11.394,14.299,15.866,12.967,18.864,940.945,9982,0,0
164.21,17.614,11.064,16.459,18.05,11.81,21.672,11.367,14.968,18.692,13.596,16.743,16.083,13.26,16.436,872.564,4329,0,0
174.5,17.968,12.64,15.425,17.971,11.579,20.084,10.136,12.715,19.772,14.147,16.858,16.945,16.291,19.894,729.244,25873,0,0
102.22,16.819,10.571,16.988,17.786,10.895,19.507,11.194,15.757,20.211,11.591,16.131,14.837,17.564,18.738,696.589,14872,0,0
127.82623252279636,17.226,11.635,15.819,17.353,13.159,19.807,10.475,14.724,17.86,9.455,16.316,16.673,14.051,17.174,740.677,7288,0,0
119.05,17.687,11.892,16.895,17.548,13.143,17.887,10.691,18.398,21.008,11.321,15.187,17.424,15.843,13.703,600.182,25584,1,0
70.49,15.978,12.463,16.485,18.426,10.937,19.264,10.918,15.869,18.805,11.992,15.283,17.564,16.166,16.264,701.0245,12919,0,0
72.98,18.291,12.498,16.393,16.641,11.853,21.142,11.367,14.239,19.262,12.325,14.039,18.083,13.857,16.988,712.509,21020,1,0
111.33,18.497,11.544,17.496,18.06,11.431,19.48,10.372,15.528,20.524,11.717,14.874,16.453,16.159,16.593,665.034,9779,0,0
128.05,17.829,12.31,16.773,16.792,12.311,19.021,11.623,17.232,20.914,10.838,16.029,13.428,14.066,18.397,575.575,1443,0,0
94.82,15.531,11.002,17.158,17.516,12.45,19.787,11.397,16.168,20.928,12.642,13.646,15.7,15.643,16.436,691.441,9646,0,0
103.55,17.262,13.156,17.858,15.619,11.613,20.85,9.617,16.779,18.459,12.868,15.961,16.967,15.231,14.822,784.877,25360,0,0
166.31,18.921,11.305,18.25,19.385,11.922,19.021,11.31,15.02,18.545,12.287,16.581,14.956,12.862,14.907,774.546,13090,1,0
138.67,17.363,10.834,16.364,17.428,12.25,19.09,11.113,15.466,20.787,11.149,15.215,14.041,15.165,15.96,701.0245,3199,0,0
171.06,15.308,12.309,18.844,17.05,13.929,18.096,11.43,17.64,19.217,14.161,14.415,16.588,12.976,18.894,759.212,17074,0,0
61.49,18.245,11.425,19.191,18.351,12.708,18.853,11.228,17.386,21.088,11.931,15.6285,13.993,15.407,16.333,852.757,4837,0,0
94.55,17.347,10.991,19.066,17.01,12.269,19.998,12.239,15.597,18.171,12.733,15.738,13.252,12.044,15.344,881.132,2771,1,0
124.3,16.594,12.419,16.667,17.157,11.699,19.717,12.358,17.357,20.439,9.471,14.87,16.215,14.969,14.585,752.472,21427,0,0
